,alpha_1,alpha_2,alpha_3,from_vae
:l,1.9944214820861816,1.0004490613937378,1.0051294565200806,True
:o,1.5508469343185425,1.3296622037887573,1.1194908618927002,True
:o),1.0000370740890503,1.9961247444152832,1.003838062286377,True
:o/,1.9887226819992065,1.0006988048553467,1.0105785131454468,True
:o\,1.9775290489196777,1.0005561113357544,1.0219148397445679,True
:o|,1.7396141290664673,1.1431896686553955,1.1171963214874268,True
:p,1.0001513957977295,1.9911317825317383,1.0087168216705322,True
:s,1.9783412218093872,1.0021188259124756,1.0195399522781372,True
:{,1.99611496925354,1.0004451274871826,1.0034397840499878,True
:|,1.7973231077194214,1.0773953199386597,1.1252814531326294,True
:},1.0000914335250854,1.9953105449676514,1.0045981407165527,True
:Þ,1.0000602006912231,1.994452953338623,1.0054869651794434,True
;),1.000550627708435,1.9891893863677979,1.010259985923767,True
;-),1.0013731718063354,1.989978551864624,1.0086482763290405,True
;-*,1.0000125169754028,1.99968683719635,1.0003007650375366,True
;-],1.0005943775177002,1.995441198348999,1.0039644241333008,True
;D,1.000629186630249,1.9900617599487305,1.0093090534210205,True
;],1.0014444589614868,1.9713457822799683,1.0272098779678345,True
;^),1.0000485181808472,1.9988160133361816,1.0011354684829712,True
